Channel1,Channel2,Weight
ParkHoppin,HeelvsBabyface,1
ParkHoppin,rkoutpostgaming8112,1
ParkHoppin,ChrissieMayr,1
ParkHoppin,MichaelKnowles,1
ParkHoppin,YellowFlashProductions,1
ParkHoppin,QTRBlackGarrett,1
ParkHoppin,MidnightsEdge,1
ParkHoppin,OMBReviews,1
ParkHoppin,JLongbone,1
ParkHoppin,BrittanyVenti,1
ParkHoppin,GeeksandGamers,1
ParkHoppin,Dixonverse,1
ParkHoppin,ComixDivision,1
ParkHoppin,TheCriticalDrinker,1
ParkHoppin,SideScrollersPodcast,1
ParkHoppin,VALUETAINMENT,1
ParkHoppin,geeksandgamers2,1
ParkHoppin,TimcastIRL,1
ParkHoppin,PrimeTimeAlexStein,1
ParkHoppin,DDayCobra,1
ParkHoppin,ryankinelrkoutpost1,1
ParkHoppin,ThePodcastoftheLotusEaters,1
ParkHoppin,CallMeChato,1
ParkHoppin,FreedomToons,1
ParkHoppin,PierryChan,1
ParkHoppin,NerdroticLive,1
ParkHoppin,disparutoo,1
ParkHoppin,TheCriglerShow,1
ParkHoppin,Nerdrotic3,1
ParkHoppin,rkoutpostshorts8795,1
ParkHoppin,EchoChamberlain,1
ParkHoppin,TheBabylonBee,1
ParkHoppin,CountDankula,1
ParkHoppin,DrDisRespect,1
ParkHoppin,PopCultureCrisis,1
ParkHoppin,NerdroticDaily,1
ParkHoppin,hvbgaming,1
ParkHoppin,geeksandgamersclips,1
ParkHoppin,patriotoutpost248,1
ParkHoppin,NormalWorld,1
ParkHoppin,geeksandgamersplay,1
ParkHoppin,bennyjohnson,1
ParkHoppin,CultureCasino,1
ParkHoppin,BaggageClaim,1
OMBReviews,TheLittlePlatoon,1
OMBReviews,rkoutpostlive8385,1
OMBReviews,ItsAGundam,1
OMBReviews,MauLerYT,1
OMBReviews,RussellBrand,1
OMBReviews,youngrippa59,1
OMBReviews,TheQuartering,1
OMBReviews,jschlattLIVE,1
OMBReviews,TyroneMagnus,1
OMBReviews,RedLetterMedia,1
OMBReviews,MelonieMacGoBoom,1
OMBReviews,geeksandgamerslife,1
OMBReviews,Drunk3PO,1
OMBReviews,nerdrotic,1
OMBReviews,FilmThreat,1
OMBReviews,JeremyJahns,1
OMBReviews,penguinz0,1
OMBReviews,CAMELOT331,1
OMBReviews,GeeksandGamersTabletop,1
OMBReviews,DrewHernandezMedia,1
OMBReviews,TheOMBReport,1
OMBReviews,TheRageaholic,1
OMBReviews,hawttoys,1
OMBReviews,ComicArtistProSecrets,1
OMBReviews,StevenCrowder,1
OMBReviews,HeelvsBabyface,1
OMBReviews,rkoutpostgaming8112,1
OMBReviews,ChrissieMayr,1
OMBReviews,MichaelKnowles,1
OMBReviews,TheRussianBadger,1
OMBReviews,YellowFlashProductions,1
OMBReviews,QTRBlackGarrett,1
OMBReviews,MidnightsEdge,1
OMBReviews,TheCriticalDrinker,1
OMBReviews,TheCriglerShow,1
OMBReviews,patriotoutpost248,1
OMBReviews,JayneTheory,1
OMBReviews,CallMeChato,1
OMBReviews,bennyjohnson,1
OMBReviews,rkoutpostshorts8795,1
OMBReviews,Dixonverse,1
OMBReviews,ThePodcastoftheLotusEaters,1
OMBReviews,JLongbone,1
OMBReviews,geeksandgamersclips,1
OMBReviews,TheBabylonBee,1
OMBReviews,PopCultureCrisis,1
OMBReviews,DrDisRespect,1
OMBReviews,geeksandgamersplay,1
OMBReviews,PierryChan,1
OMBReviews,EchoChamberlain,1
OMBReviews,BrittanyVenti,1
OMBReviews,TimcastIRL,1
OMBReviews,NerdroticLive,1
OMBReviews,disparutoo,1
OMBReviews,Nerdrotic3,1
OMBReviews,NerdroticDaily,1
OMBReviews,PrimeTimeAlexStein,1
OMBReviews,CultureCasino,1
OMBReviews,FreedomToons,1
OMBReviews,NormalWorld,1
OMBReviews,VALUETAINMENT,1
OMBReviews,ClownfishTV,1
OMBReviews,hvbgaming,1
OMBReviews,geeksandgamers2,1
OMBReviews,ComixDivision,1
OMBReviews,BaggageClaim,1
OMBReviews,CountDankula,1
OMBReviews,ryankinelrkoutpost1,1
OMBReviews,Mediaholic,1
OMBReviews,SideScrollersPodcast,1
OMBReviews,GeeksandGamers,1
OMBReviews,DDayCobra,1
hawttoys,TheLittlePlatoon,1
hawttoys,rkoutpostlive8385,1
hawttoys,ItsAGundam,1
hawttoys,MauLerYT,1
hawttoys,youngrippa59,1
hawttoys,MelonieMacGoBoom,1
hawttoys,geeksandgamerslife,1
hawttoys,EveryFrameAPause,1
hawttoys,Drunk3PO,1
hawttoys,nerdrotic,1
hawttoys,FilmThreat,1
hawttoys,CAMELOT331,1
hawttoys,GeeksandGamersTabletop,1
hawttoys,DrewHernandezMedia,1
hawttoys,TheOMBReport,1
hawttoys,TheRageaholic,1
hawttoys,JLongbone,1
hawttoys,geeksandgamersplay,1
hawttoys,bennyjohnson,1
hawttoys,TheCriticalDrinker,1
hawttoys,QTRBlackGarrett,1
hawttoys,TheCriglerShow,1
hawttoys,HeelvsBabyface,1
hawttoys,ComixDivision,1
hawttoys,ryankinelrkoutpost1,1
hawttoys,NormalWorld,1
hawttoys,rkoutpostshorts8795,1
hawttoys,Dixonverse,1
hawttoys,geeksandgamersclips,1
hawttoys,patriotoutpost248,1
hawttoys,rkoutpostgaming8112,1
hawttoys,EchoChamberlain,1
hawttoys,PierryChan,1
hawttoys,NerdroticLive,1
hawttoys,SideScrollersPodcast,1
hawttoys,disparutoo,1
hawttoys,YellowFlashProductions,1
hawttoys,BrittanyVenti,1
hawttoys,ChrissieMayr,1
hawttoys,hvbgaming,1
hawttoys,NerdroticDaily,1
hawttoys,geeksandgamers2,1
hawttoys,CallMeChato,1
hawttoys,BaggageClaim,1
hawttoys,Nerdrotic3,1
hawttoys,TheBabylonBee,1
hawttoys,GeeksandGamers,1
hawttoys,DDayCobra,1
GeeksandGamers,TheLittlePlatoon,1
GeeksandGamers,rkoutpostlive8385,1
GeeksandGamers,ItsAGundam,1
GeeksandGamers,NinaInfinity,1
GeeksandGamers,MauLerYT,1
GeeksandGamers,timthetatman,1
GeeksandGamers,RussellBrand,1
GeeksandGamers,youngrippa59,1
GeeksandGamers,TheQuartering,1
GeeksandGamers,jschlattLIVE,1
GeeksandGamers,TyroneMagnus,1
GeeksandGamers,RedLetterMedia,1
GeeksandGamers,MelonieMacGoBoom,1
GeeksandGamers,geeksandgamerslife,1
GeeksandGamers,EveryFrameAPause,1
GeeksandGamers,Drunk3PO,1
GeeksandGamers,nerdrotic,1
GeeksandGamers,FilmThreat,1
GeeksandGamers,JeremyJahns,1
GeeksandGamers,penguinz0,1
GeeksandGamers,CAMELOT331,1
GeeksandGamers,GeeksandGamersTabletop,1
GeeksandGamers,DrewHernandezMedia,1
GeeksandGamers,TheOMBReport,1
GeeksandGamers,TheRageaholic,1
GeeksandGamers,LegalMindset,1
GeeksandGamers,ComicArtistProSecrets,1
GeeksandGamers,StevenCrowder,1
GeeksandGamers,HeelvsBabyface,1
GeeksandGamers,rkoutpostgaming8112,1
GeeksandGamers,ChrissieMayr,1
GeeksandGamers,MichaelKnowles,1
GeeksandGamers,TheRussianBadger,1
GeeksandGamers,YellowFlashProductions,1
GeeksandGamers,QTRBlackGarrett,1
GeeksandGamers,MidnightsEdge,1
GeeksandGamers,JLongbone,1
GeeksandGamers,BrittanyVenti,1
GeeksandGamers,Dixonverse,1
GeeksandGamers,FreedomToons,1
GeeksandGamers,newdiscourses,1
GeeksandGamers,DespotofAntrim,1
GeeksandGamers,fearthebeardo,1
GeeksandGamers,hvbgaming,1
GeeksandGamers,bennyjohnson,1
GeeksandGamers,BaggageClaim,1
GeeksandGamers,CountDankula,1
GeeksandGamers,ryankinelrkoutpost1,1
GeeksandGamers,RKOutpostLive9,1
GeeksandGamers,openairlockpolicy811,1
GeeksandGamers,PopCultureCrisis,1
GeeksandGamers,TimcastIRL,1
GeeksandGamers,PierryChan,1
GeeksandGamers,RKOutpost9,1
GeeksandGamers,Metalheadspartan,1
GeeksandGamers,ComixDivision,1
GeeksandGamers,TheCriglerShow,1
GeeksandGamers,ThatStarWarsGirl,1
GeeksandGamers,jdatalkscomics4650,1
GeeksandGamers,ryankinelrkoutpost4989,1
GeeksandGamers,geeksandgamersclips,1
GeeksandGamers,disparutoo,1
GeeksandGamers,NerdroticDaily,1
GeeksandGamers,JayneTheory,1
GeeksandGamers,patriotoutpost248,1
GeeksandGamers,CallMeChato,1
GeeksandGamers,ClownfishTV,1
GeeksandGamers,TheBabylonBee,1
GeeksandGamers,NerdroticLive,1
GeeksandGamers,NICKMERCS,1
GeeksandGamers,DrDisRespect,1
GeeksandGamers,TheCriticalDrinker,1
GeeksandGamers,THEBURNETTWORK,1
GeeksandGamers,mrnigelng,1
GeeksandGamers,EchoChamberlain,1
GeeksandGamers,VALUETAINMENT,1
GeeksandGamers,geeksandgamers2,1
GeeksandGamers,geeksandgamersplay,1
GeeksandGamers,ThePodcastoftheLotusEaters,1
GeeksandGamers,SideScrollersPodcast,1
GeeksandGamers,PrimeTimeAlexStein,1
GeeksandGamers,rkoutpostshorts8795,1
GeeksandGamers,Mediaholic,1
GeeksandGamers,SaturdayNightLive,1
GeeksandGamers,Nerdrotic3,1
GeeksandGamers,jondelarroz,1
GeeksandGamers,BenShapiro,1
GeeksandGamers,CultureCasino,1
GeeksandGamers,NormalWorld,1
GeeksandGamers,melvinzone,1
GeeksandGamers,DDayCobra,1
nerdrotic,TheLittlePlatoon,1
nerdrotic,rkoutpostlive8385,1
nerdrotic,ItsAGundam,1
nerdrotic,NinaInfinity,1
nerdrotic,MauLerYT,1
nerdrotic,timthetatman,1
nerdrotic,RussellBrand,1
nerdrotic,youngrippa59,1
nerdrotic,TheQuartering,1
nerdrotic,jschlattLIVE,1
nerdrotic,TyroneMagnus,1
nerdrotic,RedLetterMedia,1
nerdrotic,MelonieMacGoBoom,1
nerdrotic,geeksandgamerslife,1
nerdrotic,EveryFrameAPause,1
nerdrotic,Drunk3PO,1
nerdrotic,FilmThreat,1
nerdrotic,JLongbone,1
nerdrotic,NerdroticLive,1
nerdrotic,MarcTheCyborg,1
nerdrotic,FreedomToons,1
nerdrotic,TheCriticalDrinker,1
nerdrotic,TheRussianBadger,1
nerdrotic,PopCultureCrisis,1
nerdrotic,jedibrooks7235,1
nerdrotic,rkoutpostgaming8112,1
nerdrotic,GEEKWHATInc,1
nerdrotic,TimcastIRL,1
nerdrotic,PierryChan,1
nerdrotic,VALUETAINMENT,1
nerdrotic,Fringy,1
nerdrotic,mrnigelng,1
nerdrotic,ComicArtistProSecrets,1
nerdrotic,bennyjohnson,1
nerdrotic,MidnightsEdgeAfterDark,1
nerdrotic,TheRageaholic,1
nerdrotic,JeremyJahns,1
nerdrotic,ComixDivision,1
nerdrotic,TheCriglerShow,1
nerdrotic,BrittanyVenti,1
nerdrotic,ThatStarWarsGirl,1
nerdrotic,QTRBlackGarrett,1
nerdrotic,HeelvsBabyface,1
nerdrotic,GeeksandGamersTabletop,1
nerdrotic,MichaelKnowles,1
nerdrotic,ThatStarWarsGirlc,1
nerdrotic,jondelarroz,1
nerdrotic,TheOMBReport,1
nerdrotic,geeksandgamerslangen,1
nerdrotic,disparutoo,1
nerdrotic,NerdroticDaily,1
nerdrotic,JayneTheory,1
nerdrotic,jdatalkscomics4650,1
nerdrotic,PrimeTimeAlexStein,1
nerdrotic,ChrissieMayr,1
nerdrotic,TheOfficialUberGeekfeatured,1
nerdrotic,geeksandgamersclips,1
nerdrotic,patriotoutpost248,1
nerdrotic,penguinz0,1
nerdrotic,CallMeChato,1
nerdrotic,LadyGravemaster,1
nerdrotic,DDayCobra,1
nerdrotic,YellowFlashProductions,1
nerdrotic,ClownfishTV,1
nerdrotic,MattWalsh,1
nerdrotic,TheBabylonBee,1
nerdrotic,NathanRohner,1
nerdrotic,NICKMERCS,1
nerdrotic,DrDisRespect,1
nerdrotic,DespotofAntrim,1
nerdrotic,LegalMindset,1
nerdrotic,ryankinelrkoutpost4989,1
nerdrotic,LockedLoadedLatinos,1
nerdrotic,BaggageClaim,1
nerdrotic,EchoChamberlain,1
nerdrotic,geeksandgamers2,1
nerdrotic,geeksandgamersplay,1
nerdrotic,MidnightsEdge,1
nerdrotic,jcjgraham,1
nerdrotic,THEBURNETTWORK,1
nerdrotic,ryankinelrkoutpost1,1
nerdrotic,SideScrollersPodcast,1
nerdrotic,rkoutpostshorts8795,1
nerdrotic,DarkHourYT,1
nerdrotic,Metalheadspartan,1
nerdrotic,Mediaholic,1
nerdrotic,Nerdrotic3,1
nerdrotic,newdiscourses,1
nerdrotic,StevenCrowder,1
nerdrotic,ThePodcastoftheLotusEaters,1
nerdrotic,BenShapiro,1
nerdrotic,CultureCasino,1
nerdrotic,NormalWorld,1
nerdrotic,SaturdayNightLive,1
nerdrotic,SaturdaySupermodel,1
nerdrotic,TheMovieCynic,1
nerdrotic,Dixonverse,1
nerdrotic,DrewHernandezMedia,1
nerdrotic,midnightsedgeme,1
nerdrotic,Metalsforge,1
nerdrotic,fearthebeardo,1
nerdrotic,hvbgaming,1
nerdrotic,CAMELOT331,1
nerdrotic,CountDankula,1
TheCriglerShow,TheLittlePlatoon,1
TheCriglerShow,rkoutpostlive8385,1
TheCriglerShow,MelonieMacGoBoom,1
TheCriglerShow,geeksandgamerslife,1
TheCriglerShow,GeeksandGamersTabletop,1
TheCriglerShow,TheOMBReport,1
TheCriglerShow,HeelvsBabyface,1
TheCriglerShow,rkoutpostgaming8112,1
TheCriglerShow,ChrissieMayr,1
TheCriglerShow,QTRBlackGarrett,1
TheCriglerShow,MidnightsEdge,1
TheCriglerShow,ComixDivision,1
TheCriglerShow,SideScrollersPodcast,1
TheCriglerShow,midnightsedgeme,1
TheCriglerShow,geeksandgamers2,1
TheCriglerShow,DDayCobra,1
TheCriglerShow,ryankinelrkoutpost1,1
TheCriglerShow,PierryChan,1
TheCriglerShow,NerdroticLive,1
TheCriglerShow,disparutoo,1
TheCriglerShow,MarcTheCyborg,1
TheCriglerShow,Nerdrotic3,1
TheCriglerShow,NormalWorld,1
TheCriglerShow,geeksandgamersclips,1
TheCriglerShow,NerdroticDaily,1
TheCriglerShow,rkoutpostshorts8795,1
TheCriglerShow,hvbgaming,1
TheCriglerShow,NathanRohner,1
TheCriglerShow,geeksandgamersplay,1
HeelvsBabyface,TheLittlePlatoon,1
HeelvsBabyface,rkoutpostlive8385,1
HeelvsBabyface,ItsAGundam,1
HeelvsBabyface,scaryaxe,1
HeelvsBabyface,xraygirllive8493,1
HeelvsBabyface,ThatTuggLife,1
HeelvsBabyface,NinaInfinity,1
HeelvsBabyface,MauLerYT,1
HeelvsBabyface,timthetatman,1
HeelvsBabyface,RussellBrand,1
HeelvsBabyface,youngrippa59,1
HeelvsBabyface,TheQuartering,1
HeelvsBabyface,jschlattLIVE,1
HeelvsBabyface,TyroneMagnus,1
HeelvsBabyface,RedLetterMedia,1
HeelvsBabyface,MelonieMacGoBoom,1
HeelvsBabyface,geeksandgamerslife,1
HeelvsBabyface,EveryFrameAPause,1
HeelvsBabyface,Drunk3PO,1
HeelvsBabyface,FilmThreat,1
HeelvsBabyface,JeremyJahns,1
HeelvsBabyface,penguinz0,1
HeelvsBabyface,CAMELOT331,1
HeelvsBabyface,keanuCthompson,1
HeelvsBabyface,GeeksandGamersTabletop,1
HeelvsBabyface,DrewHernandezMedia,1
HeelvsBabyface,TheOMBReport,1
HeelvsBabyface,TheRageaholic,1
HeelvsBabyface,LegalMindset,1
HeelvsBabyface,ComicArtistProSecrets,1
HeelvsBabyface,StevenCrowder,1
HeelvsBabyface,rkoutpostgaming8112,1
HeelvsBabyface,MidnightsEdge,1
HeelvsBabyface,TimcastIRL,1
HeelvsBabyface,Mediaholic,1
HeelvsBabyface,TheCriticalDrinker,1
HeelvsBabyface,NerdroticLive,1
HeelvsBabyface,Fringy,1
HeelvsBabyface,YellowFlashProductions,1
HeelvsBabyface,Memology101e0,1
