Channel1,Channel2,Weight
VALUETAINMENT,ValuetainmentComedy,42
nerdrotic,NormalWorld,41
HeelvsBabyface,NormalWorld,41
ryankinel-rkoutpost1,NormalWorld,41
Pezzy,grizzytv,40
GeeksandGamers,NormalWorld,40
scaryaxe,NerosCinema,40
TPostMillennial,Timcast,40
MoreGrizzy,Pezzy,39
CallofShame,scaryaxe,38
DDayCobra,NormalWorld,37
shadiversity,NormalWorld,37
QTRBlackGarrett,NormalWorld,37
DrDisRespect,scaryaxe,37
sergedotcom,ShaneCashman,37
ShaneCashman,Timcast,37
ComixDivision,MrHReviews,36
ChrissieMayr,NormalWorld,36
OMBReviews,NormalWorld,36
ParkHoppin,NormalWorld,36
NerdroticDaily,nerdrotic,36
gngpourchoices,xray.girl,36
NerdroticLive,NormalWorld,35
rkoutpostshorts8795,NormalWorld,35
ComixDivision,NormalWorld,35
rkoutpostgaming8112,NormalWorld,35
GeeksandGamersTabletop,NormalWorld,35
TheOMBReport,NormalWorld,35
rkoutpostlive8385,NormalWorld,35
XrayGirl_,NormalWorld,35
NormalWorld,NerdroticDaily,35
pourchoices_,HumanCyborgRelation,35
xraygirllive8493,shadiversity,35
MauLerYT,XrayGirl_,34
NormalWorld,PierryChan,34
NormalWorld,Nerdrotic:3,34
NormalWorld,geeksandgamerslife,34
NormalWorld,hawttoys,34
NormalWorld,geeksandgamersplay,34
gngpourchoices,shadiversity,34
xrayvisions5786,shadiversity,34
Bigpuffer,grizzytv,33
CCKaraoke,midnightsedge.me,33
ChrissieMayr,hvbgaming,33
DDayCobra,hvbgaming,33
nerdrotic,hvbgaming,33
GeeksandGamers,hvbgaming,33
NerdroticLive,hvbgaming,33
rkoutpostshorts8795,hvbgaming,33
hvbgaming,ComixDivision,33
hvbgaming,HeelvsBabyface,33
hvbgaming,rkoutpostgaming8112,33
hvbgaming,GeeksandGamersTabletop,33
hvbgaming,TheOMBReport,33
hvbgaming,OMBReviews,33
hvbgaming,shadiversity,33
hvbgaming,ryankinel-rkoutpost1,33
hvbgaming,QTRBlackGarrett,33
hvbgaming,ParkHoppin,33
hvbgaming,rkoutpostlive8385,33
hvbgaming,XrayGirl_,33
hvbgaming,NormalWorld,33
hvbgaming,PierryChan,33
hvbgaming,Nerdrotic:3,33
hvbgaming,geeksandgamerslife,33
hvbgaming,hawttoys,33
hvbgaming,pourchoices_,33
hvbgaming,NerdroticDaily,33
xraygirllive8493,xrayvisions5786,33
MoreGrizzy,Bigpuffer,32
CCKaraoke,ThatSeventiesRockFan,32
hvbgaming,geeksandgamersplay,32
NormalWorld,pourchoices_,32
NerdroticDaily,NerdroticLive,32
MauLerYT,pourchoices_,32
DrDisRespect,timthetatman,32
DrDisRespect,NICKMERCS,32
INTERGTA,scaryaxe,32
GrizzyBeatss,Pezzy,31
NerdroticLive,GeeksandGamers,31
NICKMERCS,scaryaxe,31
bizdocpodcast,vtsoscast,31
,antisimp,30
NICKMERCS,timthetatman,30
scaryaxe,timthetatman,30
ValuetainmentComedy,vtsoscast,30
HeelvsBabyface,MauLerYT,29
TheLittlePlatoon,MrBrownAlliance,29
MoreGrizzy,ElasticDroid,28
ElasticDroid,grizzytv,28
DreamcastGuy,scaryaxe,28
ValuetainmentComedy,VALUETAINMENT,28
QTRBlackGarrett,nerdrotic,27
ChrissieMayr,geeksandgamers2,27
DDayCobra,geeksandgamers2,27
nerdrotic,geeksandgamers2,27
GeeksandGamers,geeksandgamers2,27
NerdroticLive,geeksandgamers2,27
rkoutpostshorts8795,geeksandgamers2,27
hvbgaming,geeksandgamers2,27
ComixDivision,geeksandgamers2,27
HeelvsBabyface,geeksandgamers2,27
geeksandgamers2,rkoutpostgaming8112,27
geeksandgamers2,GeeksandGamersTabletop,27
geeksandgamers2,TheOMBReport,27
geeksandgamers2,OMBReviews,27
geeksandgamers2,shadiversity,27
geeksandgamers2,ryankinel-rkoutpost1,27
geeksandgamers2,QTRBlackGarrett,27
geeksandgamers2,ParkHoppin,27
geeksandgamers2,rkoutpostlive8385,27
geeksandgamers2,XrayGirl_,27
geeksandgamers2,NormalWorld,27
geeksandgamers2,PierryChan,27
geeksandgamers2,Nerdrotic:3,27
geeksandgamers2,geeksandgamerslife,27
geeksandgamers2,hawttoys,27
geeksandgamers2,pourchoices_,27
geeksandgamers2,NerdroticDaily,27
PhilThatRemains,IanCrossland,27
jfwong,thecommandzone,26
thecommandzone,JoshLeeKwai,26
thecommandzone,wachelreeks,26
thecommandzone,CommandCast,26
MoreGrizzy,BlargMyShnoople,26
BlargMyShnoople,grizzytv,26
geeksandgamers2,geeksandgamersplay,26
midnightsedge.me,Midnights_Edge,25
QTRBlackGarrett,NerdroticLive,25
HeelvsBabyface,xraygirllive8493,25
HumanCyborgRelation,XrayGirlLive,25
kara_creates,pourchoices_,24
Bigpuffer,BlargMyShnoople,23
SaturdaySupermodel,BrittanyVenti,22
Bigpuffer,GrizzyBeatss,22
BlargMyShnoople,SMii7Y,22
MillenniaThinker,millenniathinkerger,22
MillenniaThinker,millenniathinkerspa,22
millenniathinkerger,millenniathinkerspa,22
NerdroticDaily,PierryChan,22
ValuetainmentShortClips,bizdocpodcast,22
ValuetainmentShortClips,PBDPodcast,22
bizdocpodcast,PBDPodcast,22
vtsoscast,PBDPodcast,22
pourchoices_,XrayGirlLive,22
,,21
MoreGrizzy,SMii7Y,21
SMii7Y,grizzytv,21
midnightsedge.me,astroskullmedia,21
HeelvsBabyface,nerdrotic,21
DrDisRespect,skizzlex,21
ValuetainmentComedy,ValuetainmentShortClips,21
ValuetainmentComedy,PBDPodcast,21
ElasticDroid,Pezzy,20
ThatDeadBlade,grizzytv,20
Bigpuffer,SMii7Y,20
GeeksandGamers,NerdroticLive,20
ChrissieMayr,patriotoutpost248,20
